hora;dato;linea;robot;referencia
2023-05-09 09:55:57.283557;963.81;Linea 2;R1;programa1
2023-05-09 09:55:57.525652;963.78;Linea 2;R1;programa1
2023-05-09 09:55:57.763554;963.78;Linea 2;R1;programa1
2023-05-09 09:55:58.001435;963.65;Linea 2;R1;programa1
2023-05-09 09:55:58.240997;963.65;Linea 2;R1;programa1
2023-05-09 09:55:58.480794;200.91;Linea 2;R1;programa1
2023-05-09 09:55:58.722097;200.91;Linea 2;R1;programa1
2023-05-09 09:55:58.964239;100.3;Linea 2;R1;programa1
2023-05-09 09:55:59.203896;100.6;Linea 2;R1;programa1
2023-05-09 09:55:59.445245;100.6;Linea 2;R1;programa1
2023-05-09 09:55:59.686281;100.99;Linea 2;R1;programa1
2023-05-09 09:55:59.929656;104.68;Linea 2;R1;programa1
2023-05-09 09:56:00.167932;104.68;Linea 2;R1;programa1
2023-05-09 09:56:00.407404;108.51;Linea 2;R1;programa1
2023-05-09 09:56:00.651111;108.51;Linea 2;R1;programa1
2023-05-09 09:56:00.954523;112.32;Linea 2;R1;programa1
2023-05-09 09:56:01.217684;116.13;Linea 2;R1;programa1
2023-05-09 09:56:01.480656;116.13;Linea 2;R1;programa1
2023-05-09 09:56:01.743414;119.81;Linea 2;R1;programa1
2023-05-09 09:56:01.986658;123.5;Linea 2;R1;programa1
2023-05-09 09:56:02.227858;123.5;Linea 2;R1;programa1
2023-05-09 09:56:02.467337;127.2;Linea 2;R1;programa1
2023-05-09 09:56:02.709221;127.2;Linea 2;R1;programa1
2023-05-09 09:56:02.988585;130.81;Linea 2;R1;programa1
2023-05-09 09:56:03.250506;134.5;Linea 2;R1;programa1
2023-05-09 09:56:03.530977;138.21;Linea 2;R1;programa1
2023-05-09 09:56:03.792722;138.21;Linea 2;R1;programa1
2023-05-09 09:56:04.056077;141.78;Linea 2;R1;programa1
2023-05-09 09:56:04.297069;141.78;Linea 2;R1;programa1
2023-05-09 09:56:04.545505;145.34;Linea 2;R1;programa1
2023-05-09 09:56:04.826086;1036.58;Linea 2;R1;programa1
2023-05-09 09:56:05.100638;1036.58;Linea 2;R1;programa1
2023-05-09 09:56:05.367423;971.93;Linea 2;R1;programa1
2023-05-09 09:56:05.628291;967.49;Linea 2;R1;programa1
2023-05-09 09:56:05.908749;967.49;Linea 2;R1;programa1
2023-05-09 09:56:06.188580;967.08;Linea 2;R1;programa1
2023-05-09 09:56:06.427964;967.23;Linea 2;R1;programa1
2023-05-09 09:56:06.665825;967.23;Linea 2;R1;programa1
2023-05-09 09:56:06.949009;967.0;Linea 2;R1;programa1
2023-05-09 09:56:07.209540;965.79;Linea 2;R1;programa1
2023-05-09 09:56:07.452499;965.79;Linea 2;R1;programa1
2023-05-09 09:56:07.692911;965.79;Linea 2;R1;programa1
2023-05-09 09:56:07.937544;964.92;Linea 2;R1;programa1
2023-05-09 09:56:08.174846;964.92;Linea 2;R1;programa1
2023-05-09 09:56:08.415389;965.31;Linea 2;R1;programa1
2023-05-09 09:56:08.656216;965.31;Linea 2;R1;programa1
2023-05-09 09:56:08.916502;966.34;Linea 2;R1;programa1
2023-05-09 09:56:09.159715;965.06;Linea 2;R1;programa1
2023-05-09 09:56:09.414830;965.06;Linea 2;R1;programa1
2023-05-09 09:56:09.657902;965.82;Linea 2;R1;programa1
2023-05-09 09:56:09.901102;965.82;Linea 2;R1;programa1
2023-05-09 09:56:10.141759;965.31;Linea 2;R1;programa1
2023-05-09 09:56:10.384235;965.33;Linea 2;R1;programa1
2023-05-09 09:56:10.631906;965.33;Linea 2;R1;programa1
2023-05-09 09:56:10.871229;206.56;Linea 2;R1;programa1
2023-05-09 09:56:11.114343;206.56;Linea 2;R1;programa1
2023-05-09 09:56:11.353050;102.23;Linea 2;R1;programa1
2023-05-09 09:56:11.592132;100.86;Linea 2;R1;programa1
2023-05-09 09:56:11.833598;100.86;Linea 2;R1;programa1
2023-05-09 09:56:12.077818;103.77;Linea 2;R1;programa1
2023-05-09 09:56:12.319323;103.77;Linea 2;R1;programa1
2023-05-09 09:56:12.558760;107.74;Linea 2;R1;programa1
2023-05-09 09:56:12.800225;111.53;Linea 2;R1;programa1
2023-05-09 09:56:13.039003;111.53;Linea 2;R1;programa1
2023-05-09 09:56:13.290811;115.25;Linea 2;R1;programa1
